BU Name,Facility Name,Type,Is Open,Opening Date,Closed/End of Emissions Date,Capacity (m2),FTE,Month,Year
Germany,Munich Maximiliansplatz,Office,true,01/01/2022,28/02/2022,20,0,1,"2,022"
Germany,Munich Maximiliansplatz,Office,true,01/01/2022,28/02/2022,20,0,2,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,1,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,2,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,3,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,4,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,5,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,6,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,7,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,8,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,9,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,10,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,11,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,12,"2,022"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,1,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,2,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,3,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,4,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,5,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,6,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,7,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,8,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,9,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,10,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,11,"2,023"
Indonesia,Canggu Square Systemiq Share,Office,true,01/01/2022,31/12/2023,70,8,12,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,1,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,2,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,3,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,4,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,5,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,6,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,7,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,8,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,9,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,10,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,11,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,12,"2,022"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2022,01/01/2023,446.12,,1,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,1,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,2,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,3,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,4,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,5,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,6,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,7,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,8,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,9,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,10,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,11,"2,023"
Indonesia,Gran Rubina Systemiq Share,Office,true,01/01/2023,31/12/2023,446.12,46,12,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,1,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,2,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,3,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,4,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,5,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,6,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,7,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,8,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,9,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,10,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,11,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,12,"2,022"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2022,01/01/2023,223,,1,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,1,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,2,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,3,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,4,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,5,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,6,"2,023"
