Activity Name,Sub Activity Name,Org / Business Unit Name,Number of Days With Emissions,Month,Financial Year,Facility Name,Type,Emission Start Date,Emission End Date,Input Quantity,Input Unit,Number of Days in Emissions Period,Total days in a month,gas_type,fuel_type,waste_type,waste_treatment_type,waste_category
Water Use,Water Use,Indonesia,31,10,"2,022",Gran Rubina Systemiq Share,Office,01/10/2022,31/10/2022,5.35,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,11,"2,022",Gran Rubina Systemiq Share,Office,01/11/2022,30/11/2022,5.18,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,12,"2,022",Gran Rubina Systemiq Share,Office,01/12/2022,31/12/2022,5.35,m3,31,31,,,,,
Water Use,Water Use,Indonesia,31,1,"2,023",Gran Rubina Systemiq Share,Office,01/01/2023,31/01/2023,21,m3,31,31,,,,,
Water Use,Water Use,Indonesia,28,2,"2,023",Gran Rubina Systemiq Share,Office,01/02/2023,28/02/2023,18.97,m3,28,28,,,,,
Water Use,Water Use,Indonesia,31,3,"2,023",Gran Rubina Systemiq Share,Office,01/03/2023,31/03/2023,21,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,4,"2,023",Gran Rubina Systemiq Share,Office,01/04/2023,30/04/2023,20.32,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,5,"2,023",Gran Rubina Systemiq Share,Office,01/05/2023,31/05/2023,21,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,6,"2,023",Gran Rubina Systemiq Share,Office,01/06/2023,30/06/2023,20.32,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,7,"2,023",Gran Rubina Systemiq Share,Office,01/07/2023,31/07/2023,21,m3,31,31,,,,,
Water Use,Water Use,Indonesia,31,8,"2,023",Gran Rubina Systemiq Share,Office,01/08/2023,31/08/2023,21,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,9,"2,023",Gran Rubina Systemiq Share,Office,01/09/2023,30/09/2023,20.32,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,10,"2,023",Gran Rubina Systemiq Share,Office,01/10/2023,31/10/2023,21,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,11,"2,023",Gran Rubina Systemiq Share,Office,01/11/2023,30/11/2023,20.32,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,12,"2,023",Gran Rubina Systemiq Share,Office,01/12/2023,31/12/2023,21,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,31,1,"2,022",High Holborn Systemiq Share,Office,01/01/2022,31/01/2022,6.24,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,28,2,"2,022",High Holborn Systemiq Share,Office,01/02/2022,28/02/2022,5.64,m3,28,28,,,,,
Water Use,Water Use,United Kingdom,31,3,"2,022",High Holborn Systemiq Share,Office,01/03/2022,31/03/2022,6.24,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,30,4,"2,022",High Holborn Systemiq Share,Office,01/04/2022,30/04/2022,6.04,m3,30,30,,,,,
Water Use,Water Use,United Kingdom,31,5,"2,022",High Holborn Systemiq Share,Office,01/05/2022,31/05/2022,6.24,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,31,8,"2,022",High Holborn Systemiq Share,Office,01/08/2022,31/08/2022,11.77,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,30,9,"2,022",High Holborn Systemiq Share,Office,01/09/2022,30/09/2022,11.39,m3,30,30,,,,,
Water Use,Water Use,United Kingdom,31,10,"2,022",High Holborn Systemiq Share,Office,01/10/2022,31/10/2022,11.77,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,30,11,"2,022",High Holborn Systemiq Share,Office,01/11/2022,30/11/2022,11.39,m3,30,30,,,,,
Water Use,Water Use,United Kingdom,31,12,"2,022",High Holborn Systemiq Share,Office,01/12/2022,31/12/2022,11.77,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,31,1,"2,023",High Holborn Systemiq Share,Office,01/01/2023,31/01/2023,5.04,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,28,2,"2,023",High Holborn Systemiq Share,Office,01/02/2023,28/02/2023,4.55,m3,28,28,,,,,
Water Use,Water Use,United Kingdom,31,3,"2,023",High Holborn Systemiq Share,Office,01/03/2023,31/03/2023,5.04,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,30,4,"2,023",High Holborn Systemiq Share,Office,01/04/2023,30/04/2023,4.88,m3,30,30,,,,,
Water Use,Water Use,United Kingdom,31,5,"2,023",High Holborn Systemiq Share,Office,01/05/2023,31/05/2023,5.04,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,30,6,"2,023",High Holborn Systemiq Share,Office,01/06/2023,30/06/2023,4.88,m3,30,30,,,,,
Water Use,Water Use,United Kingdom,31,7,"2,023",High Holborn Systemiq Share,Office,01/07/2023,31/07/2023,5.04,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,31,8,"2,023",High Holborn Systemiq Share,Office,01/08/2023,31/08/2023,5.04,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,30,9,"2,023",High Holborn Systemiq Share,Office,01/09/2023,30/09/2023,4.88,m3,30,30,,,,,
Water Use,Water Use,United Kingdom,31,10,"2,023",High Holborn Systemiq Share,Office,01/10/2023,31/10/2023,5.04,m3,31,31,,,,,
Water Use,Water Use,United Kingdom,30,11,"2,023",High Holborn Systemiq Share,Office,01/11/2023,30/11/2023,4.88,m3,30,30,,,,,
Water Use,Water Use,United Kingdom,31,12,"2,023",High Holborn Systemiq Share,Office,01/12/2023,31/12/2023,5.04,m3,31,31,,,,,
Water Use,Water Use,Germany,31,3,"2,022",Mühldorfstraße Systemiq Share,Office,01/03/2022,31/03/2022,5.35,m3,31,31,,,,,
Water Use,Water Use,Germany,30,4,"2,022",Mühldorfstraße Systemiq Share,Office,01/04/2022,30/04/2022,5.18,m3,30,30,,,,,
Water Use,Water Use,Germany,31,5,"2,022",Mühldorfstraße Systemiq Share,Office,01/05/2022,31/05/2022,5.35,m3,31,31,,,,,
Water Use,Water Use,Germany,30,6,"2,022",Mühldorfstraße Systemiq Share,Office,01/06/2022,30/06/2022,5.18,m3,30,30,,,,,
Water Use,Water Use,Germany,31,7,"2,022",Mühldorfstraße Systemiq Share,Office,01/07/2022,31/07/2022,5.35,m3,31,31,,,,,
Water Use,Water Use,Germany,31,8,"2,022",Mühldorfstraße Systemiq Share,Office,01/08/2022,31/08/2022,5.35,m3,31,31,,,,,
Water Use,Water Use,Germany,30,9,"2,022",Mühldorfstraße Systemiq Share,Office,01/09/2022,30/09/2022,5.18,m3,30,30,,,,,
Water Use,Water Use,Germany,31,10,"2,022",Mühldorfstraße Systemiq Share,Office,01/10/2022,31/10/2022,5.35,m3,31,31,,,,,
Water Use,Water Use,Germany,30,11,"2,022",Mühldorfstraße Systemiq Share,Office,01/11/2022,30/11/2022,5.18,m3,30,30,,,,,
Water Use,Water Use,Germany,31,12,"2,022",Mühldorfstraße Systemiq Share,Office,01/12/2022,31/12/2022,5.35,m3,31,31,,,,,
Water Use,Water Use,Germany,31,1,"2,022",Munich Maximiliansplatz,Office,01/01/2022,31/01/2022,3.57,m3,31,31,,,,,
